price,mileage,mpg
12000,15944,57.7
14000,9083,57.7
13000,12456,57.7
17500,10460,40.3
16500,1482,48.7
10500,35432,47.9
22500,2029,50.4
9000,13054,54.3
25500,6894,42.2
10000,48141,61.4
11561,18803,56.5
13500,12065,54.3
11000,20978,65.7
17999,9002,54.3
18999,8970,58.9
14399,12810,64.2
17999,10428,38.2
16899,14680,54.3
10999,12427,62.8
12500,25521,55.4
9499,20400,55.4
10500,24926,65.7
8995,26163,65.7
8995,59000,47.9
6795,35299,65.7
18499,13063,41.5
11799,23800,68.9
8299,25935,65.7
12499,8700,58.9
8699,25000,54.3
7999,60730,78.5
8991,18561,54.3
18990,8400,60.1
7236,39090,65.7
15287,33149,58.9
20000,24,65.7
20000,558,53.3
21378,3259,39.2
9814,15100,65.7
8261,25000,57.7
8788,15612,65.7
12251,8920,58.9
16320,24803,60.1
13140,7,48.7
10491,43019,48.7
13870,41607,54.3
14960,23554,41.5
13540,6923,58.9
17970,10985,74.3
9330,29617,68.9
6000,47613,65.7
8995,5122,43.5
8495,32,48.7
6395,31562,54.3
14495,8131,58.9
19995,24568,31.7
18495,39605,54.3
17995,11496,57.6
5495,51271,54.3
16995,7189,58.9
16495,29428,54.3
17998,12162,39.2
7498,33023,44.1
17498,2714,49.6
17498,17051,56.5
5998,44304,76.4
17698,4844,34.4
11000,31810,60.1
8700,43081,44.8
15300,47159,54.3
7490,25000,65.7
10760,29891,60.1
18760,10237,39.2
6360,48653,65.7
6270,60888,65.7
17920,15815,38.2
4790,74128,65.7
7830,50124,74.3
6990,29851,76.4
18640,24105,48.7
6700,28935,54.3
9498,30925,65.7
13698,13418,58.9
13298,13756,58.9
14398,25175,54.3
8998,21267,64.2
12698,12130,56.5
11998,17354,56.5
13498,15822,58.9
13498,10557,58.9
9698,20786,61.4
24995,7997,36.7
9895,19079,65.7
12995,14979,58.9
9295,47904,56.5
8495,24410,54.3
13895,13600,58.9
18298,21456,67.3
9198,31512,74.3
10798,11843,65.7
8998,31373,65.7
18498,7796,54.3
13498,26597,54.3
14998,15978,64.2
13998,13265,38.2
